run_id,dataset,target,rotvec_x_deg,rotvec_y_deg,rotvec_z_deg,relative_angle_deg
D3,20260820_133622_圆点标定板背面_位置1_真机_5,rx_positive,9.996763982695093,-0.00020899258441661988,0.0012197034766769999,9.996764059287601
D3,20260820_133622_圆点标定板背面_位置1_真机_5,rx_negative,-9.997689764905873,-0.0003095697694124807,-0.000706178841442249,9.997689794638841
D3,20260820_133622_圆点标定板背面_位置1_真机_5,rx_ry_positive,9.993877887507349,9.996752808634916,0.002389073713271898,14.135510873506895
D4,20260820_135111_圆点标定板背面_位置2_真机_1,reference,0.0,0.0,0.0,0.0
D4,20260820_135111_圆点标定板背面_位置2_真机_1,ry_positive,0.00037686733466514404,9.99909970109074,0.0009108300369787246,9.999099749677132
D4,20260820_135111_圆点标定板背面_位置2_真机_1,ry_negative,0.0007801348798738951,-10.000327648326751,0.00021444764564804145,10.00032768105559
D4,20260820_135111_圆点标定板背面_位置2_真机_1,rx_positive,9.997246295737447,0.0019254643541398878,-0.0008960759701082644,9.99724652131782
D4,20260820_135111_圆点标定板背面_位置2_真机_1,rx_negative,-9.99868274925866,-0.0002501554178892472,0.00040856874058765955,9.998682760735479
D4,20260820_135111_圆点标定板背面_位置2_真机_1,rx_ry_positive,9.998334624908486,10.000705624803208,-0.00038138764685859464,14.141457082319027
D5,20260820_140109_圆点标定板背面_位置2_真机_2,reference,0.0,0.0,0.0,0.0
D5,20260820_140109_圆点标定板背面_位置2_真机_2,ry_positive,0.0011465986080120174,9.998648818245684,0.0014836296752760985,9.998648994061707
D5,20260820_140109_圆点标定板背面_位置2_真机_2,ry_negative,-0.0012260328268032994,-9.9990983515231,-0.00038360587717896794,9.99909843404604
D5,20260820_140109_圆点标定板背面_位置2_真机_2,rx_positive,9.998776760206718,0.0008269501091047233,-0.000506483358335824,9.998776807231065
D5,20260820_140109_圆点标定板背面_位置2_真机_2,rx_negative,-9.99871958909781,-0.00040934417097668297,0.0004299710995169244,9.998719606721956
D5,20260820_140109_圆点标定板背面_位置2_真机_2,rx_ry_positive,9.99906903187691,9.99971560786089,0.00012729699680681688,14.1412762422117
D6,20260820_141546_原点标定板背面_位置3_真机_1,reference,0.0,0.0,0.0,0.0
D6,20260820_141546_原点标定板背面_位置3_真机_1,ry_positive,6.949271287137791e-05,9.999713771574292,-6.563560857649769e-05,9.99971377203117
D6,20260820_141546_原点标定板背面_位置3_真机_1,ry_negative,-0.00030007334041161864,-9.999210713584986,1.6357718863151944e-05,9.999210718100922
D6,20260820_141546_原点标定板背面_位置3_真机_1,rx_positive,9.997061712951467,-0.00013398405624657952,0.000814666159853568,9.99706174704312
D6,20260820_141546_原点标定板背面_位置3_真机_1,rx_negative,-9.996375088690183,-0.001662004769641509,-0.0010298370500915297,9.996375279900702
D6,20260820_141546_原点标定板背面_位置3_真机_1,rx_ry_positive,9.993356579958604,9.998033648813596,0.0015267186101795896,14.136048065420567
D7,20260820_142718_知象光电宣传册_位置1_真机_1_nbv初始化失败,reference,0.0,0.0,0.0,0.0
D7,20260820_142718_知象光电宣传册_位置1_真机_1_nbv初始化失败,ry_positive,-0.00428786083907828,9.998531711984201,0.0011154882726375848,9.998532693631521
D7,20260820_142718_知象光电宣传册_位置1_真机_1_nbv初始化失败,ry_negative,0.0015286810283421986,-9.995771638519637,-0.0012115484552102378,9.995771828835874
D7,20260820_142718_知象光电宣传册_位置1_真机_1_nbv初始化失败,rx_positive,9.99577674681557,-0.000717514157287912,0.0014728604695819906,9.995776881079498
D7,20260820_142718_知象光电宣传册_位置1_真机_1_nbv初始化失败,rx_negative,-9.996021064045031,-0.0005952808758149241,-0.0010757113360334023,9.996021139650825
D7,20260820_142718_知象光电宣传册_位置1_真机_1_nbv初始化失败,rx_ry_positive,9.99541178151603,9.997609772582393,0.0015057288876287936,14.137201282931636
D8,20260820_144753_焊接书_位置1_真机_1,reference,0.0,0.0,0.0,0.0
D8,20260820_144753_焊接书_位置1_真机_1,ry_positive,-0.0029868202772053926,9.998244433371937,0.0009175455096708129,9.998244921606895
D8,20260820_144753_焊接书_位置1_真机_1,ry_negative,0.00128708126971705,-9.998096528600849,-0.0006685658539668352,9.998096633798797
D8,20260820_144753_焊接书_位置1_真机_1,rx_positive,9.997140377614064,-0.00038863806406199964,0.0009376448660139906,9.99714042913967
